name,seconds,status
3_1_735727_1,34.549,ok
3_1_193320_1,33.415,ok
3_1_959175_2,41.020,ok
3_1_399916_3,34.499,ok
3_1_491724_2,35.788,ok
3_1_648324_3,37.187,ok
3_1_311467_2,35.361,ok
3_1_110700_4,32.636,ok
3_1_542700_3,39.602,ok
3_3_418605_1,33.833,ok
3_1_628963_1,33.475,ok
3_1_410700_2,37.964,ok
3_1_960204_2,41.750,ok
3_1_369800_2,37.919,ok
3_3_658476_1,32.407,ok
3_1_975819_1,37.905,ok
3_1_551980_3,37.164,ok
3_1_186731_1,33.590,ok
3_1_828996_1,34.471,ok
3_1_603288_2,44.959,ok
3_1_283015_1,33.336,ok
3_1_399735_1,34.133,ok
3_1_732108_1,40.395,ok
3_1_29535_1,29.045,ok
3_1_933107_2,40.892,ok
3_1_912968_1,38.989,ok
3_3_582169_2,40.303,ok
3_1_314847_3,37.434,ok
3_1_588735_1,40.061,ok
